1HHdA2z0r2af-uQGeBYPu7ZLWd5A4_Yjf,"Notes &
      Slides"
13ym51Z8tVo-nNtKNYGSwVICw360-PcIp,"Previous Year
      Papers"
 second-year/biotech/biophysics.html,
11jN_ER-zQa16ZoTWFf_f48iur_jFVfOY,Books
10_w9ImmF66xXbp1OWmzuJFQBraNkyoV6,"Notes &
      Slides"
1rK0lQc2S2PXoY4RJYPe-BWK8R2xXuedX,Tutorials
1bRDbfELnKkPPTN27LKSOpLnnH4CQK1rY,"Previous
      Year Papers"
 second-year/biotech/geneticengineering.html,
18qzYqpKTMpaudVn4Y3J-CXoTF4-f2Lcj,"Previous Year
      Papers"
 second-year/electrical/transformer.html,
1JYIckRBOJmHBG3vwx3NO5Ip65sZeLf1y,Tutorials
1LSkTBQ2T7R6QQ-3FByAANstfTwCrzKoz,"Previous Year
      Papers"
 second-year/electrical/networktheory.html,
